Wilder#Fox, 15
Kills,Deaths,Assists,winRate,avgCS,GPM,KP,avgDPM,avgAbusage,visionScore,numGames
1,3,15,55%,0,269,58%,257,160,63,44
3,4,12,52%,1,294,53%,689,166,70,29
1,3,14,56%,0,267,60%,209,112,66,25
8,4,6,55%,3,369,49%,637,145,48,22
6,3,5,40%,6,400,43%,665,154,16,10
8,4,9,75%,6,432,50%,638,135,27,8
5,9,5,0%,5,359,43%,550,166,27,3
6,6,3,0%,6,386,52%,556,91,18,3
1,5,7,0%,1,220,48%,255,141,71,3
6,2,4,50%,7,419,49%,404,61,11,2
4,5,5,0%,4,331,63%,540,162,48,2
2,6,10,0%,0,250,63%,222,145,63,2
3,2,5,0%,6,342,40%,474,176,21,2
3,6,10,0%,1,266,43%,638,171,107,2
0,8,3,0%,5,288,19%,298,157,33,1
4,6,14,0%,0,272,53%,392,142,96,1
0,8,2,0%,1,222,7%,299,100,93,1



DustRose#ross, 15
Kills,Deaths,Assists,winRate,avgCS,GPM,KP,avgDPM,avgAbusage,visionScore,numGames
8,5,5,67%,6,440,40%,708,196,19,9
5,10,3,0%,6,333,32%,631,199,26,1
9,7,14,100%,5,389,50%,762,181,16,1



Lildiz#NA1, 15
Kills,Deaths,Assists,winRate,avgCS,GPM,KP,avgDPM,avgAbusage,visionScore,numGames
20,3,7,100%,6,493,45%,1090,704,22,1



NaCl Samurai#NA1, 15
Kills,Deaths,Assists,winRate,avgCS,GPM,KP,avgDPM,avgAbusage,visionScore,numGames
14,4,11,100%,1,496,48%,862,241,37,2
11,6,9,100%,1,546,49%,869,404,24,1
8,5,10,100%,0,397,35%,650,584,27,1
6,7,10,100%,0,382,33%,450,777,74,1
6,5,15,0%,0,362,62%,719,331,43,1
5,7,6,0%,1,367,55%,627,419,45,1



Sharmal#8519, 15
Kills,Deaths,Assists,winRate,avgCS,GPM,KP,avgDPM,avgAbusage,visionScore,numGames
1,3,14,56%,0,267,61%,325,252,31,9
2,7,13,43%,1,290,51%,409,196,60,7
6,5,12,57%,6,402,53%,861,199,17,7
1,5,17,50%,0,285,55%,340,223,66,6
5,8,19,75%,1,346,65%,825,293,76,4
2,5,14,67%,0,318,61%,277,143,36,3
5,8,6,0%,5,358,40%,834,189,24,2
5,4,20,100%,6,403,52%,520,249,52,1
3,10,5,0%,0,248,40%,556,142,48,1
2,10,20,100%,3,321,37%,902,198,45,1
1,11,9,0%,0,235,43%,359,125,57,1
0,3,11,100%,0,258,44%,385,123,44,1
2,5,8,0%,0,265,56%,197,125,56,1



